,Time,S1,S2,S3,S4,S5,Event_val,ElapasedTime
0,38:31.7,4.121874237,-0.708731843,7.278170777,0.990715,0.934132,1000,0
1,38:31.7,4.382598877,-0.785110474,7.696914673,0.990643597,0.934168146,-999,11
2,38:31.7,4.856643677,-0.923980713,8.458267212,0.990513773,0.934233866,-999,31
3,38:31.8,4.486740112,-1.374084473,7.609527588,0.990319037,0.934332447,-999,61
4,38:31.8,5.060165405,-1.381271362,7.668182373,0.990163249,0.934411311,-999,85
5,38:31.8,4.839889526,-1.570404053,7.841766357,0.990130793,0.934427741,-999,90
6,38:31.8,5.529418945,-1.670959473,8.470245361,0.990000969,0.934493461,-999,110
7,38:31.8,4.863830566,-1.896026611,8.895217896,0.989877636,0.934555895,-999,129
8,38:31.8,4.780029297,-1.674560547,8.64024353,0.989728339,0.934631474,-999,152
9,38:31.9,4.695037842,-1.296264648,8.430740356,0.989605006,0.934693908,-999,171
10,38:31.9,4.770462036,-1.000595093,8.631851196,0.989397288,0.93479906,-999,203
11,38:31.9,4.492736816,-0.904815674,8.625869751,0.989332376,0.93483192,-999,213
12,38:31.9,4.654342651,-0.775543213,8.479827881,0.989163605,0.934917356,-999,239
13,38:31.9,4.778839111,-0.701309204,9.194488525,0.989053255,0.934973219,-999,256
14,38:32.0,4.198242188,-0.992202759,9.36088562,0.988949396,0.935025795,-999,272
15,38:32.0,4.347885132,-0.885665894,8.447494507,0.988845537,0.935078371,-999,288
16,38:32.0,4.748916626,-0.996994019,7.786697388,0.988670275,0.935167093,-999,315
17,38:32.0,4.751296997,-1.281906128,8.114700317,0.988507995,0.935249244,-999,340
18,38:32.0,5.251693726,-1.387252808,8.388839722,0.988456065,0.935275532,-999,348
19,38:32.1,5.288803101,-1.647018433,8.792266846,0.988339224,0.93533468,-999,366
20,38:32.1,5.225357056,-1.763137817,9.125061035,0.988118523,0.935446404,-999,400
21,38:32.1,5.220565796,-1.703277588,8.689315796,0.988034138,0.935489122,-999,413
22,38:32.1,5.128387451,-1.678146362,7.898025513,0.987949752,0.93553184,-999,426
23,38:32.1,5.517456055,-1.491394043,7.926757813,0.98782642,0.935594275,-999,445
24,38:32.2,5.47076416,-1.497390747,8.775497437,0.987696596,0.935659995,-999,465
25,38:32.2,5.54019165,-1.724838257,8.852127075,0.987566772,0.935725715,-999,485
26,38:32.2,5.56892395,-1.680541992,9.01373291,0.987443439,0.935788149,-999,504
27,38:32.2,5.052978516,-1.425552368,9.074783325,0.987268177,0.935876872,-999,531
28,38:32.3,5.588088989,-1.138259888,9.005340576,0.987028003,0.935998454,-999,568
29,38:32.3,5.234939575,-1.096359253,9.187316895,0.987015021,0.936005026,-999,570
30,38:32.3,5.209793091,-1.052062988,9.31539917,0.986930635,0.936047744,-999,583
31,38:32.3,5.033828735,-1.076004028,8.490600586,0.986729408,0.93614961,-999,614
32,38:32.3,4.718978882,-0.892852783,8.265533447,0.98663204,0.936198901,-999,629
33,38:32.3,4.497512817,-0.953903198,7.717269897,0.986541164,0.936244905,-999,643
34,38:32.4,4.590896606,-0.706100464,7.609527588,0.986417831,0.936307339,-999,662
35,38:32.4,5.021850586,-1.034103394,7.997390747,0.986281516,0.936376345,-999,683
36,38:32.4,4.8722229,-1.315414429,8.718048096,0.986106254,0.936465067,-999,710
37,38:32.4,4.527450562,-1.498580933,8.528900146,0.985956956,0.936540646,-999,733
38,38:32.4,4.582519531,-1.394424438,7.749588013,0.985879062,0.936580078,-999,745
39,38:32.5,4.721374512,-1.226837158,7.583190918,0.985775203,0.936632654,-999,761
40,38:32.5,4.335922241,-1.332183838,7.626281738,0.985625906,0.936708232,-999,784
41,38:32.5,5.04699707,-1.390838623,7.955490112,0.985470117,0.936787096,-999,808
42,38:32.5,5.116424561,-1.556045532,8.136245728,0.985314328,0.936865961,-999,832
43,38:32.5,5.331893921,-1.647018433,8.514541626,0.985203978,0.936921823,-999,849
44,38:32.6,5.409713745,-1.562026978,8.625869751,0.985041698,0.937003973,-999,874
45,38:32.6,5.208602905,-1.344146729,8.475036621,0.984652227,0.937201134,-999,934
46,38:32.6,5.203811646,-1.184936523,8.205688477,0.984632753,0.937210992,-999,937
47,38:32.6,5.278030396,-1.044876099,8.168579102,0.984626262,0.937214278,-999,938
48,38:32.6,5.445617676,-1.065231323,8.342163086,0.984593806,0.937230708,-999,943
49,38:32.7,5.507873535,-1.150222778,8.98260498,0.984470474,0.937293142,-999,962
